run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-08-03,3635,コーエーテクモホールディングス,2,8.3,1600.00,出来高が5日平均で25日平均比 +88%|25日線を上回って推移（+1.9%）|5日線>25日線で短期上向き（乖離+2.6%）|25日線>75日線で中期も上向き（乖離+1.4%）|市場平均(TOPIX)を20日で +2.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER12.1倍 ≤ 業種中央値20.2倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +0.3%で過熱圏未満（急騰しすぎていない）,9,9,1671.00,1495.00,5,closed,2026-08-07,expired
2026-08-03,9991,ジェコス,3,8.1,1720.00,出来高が5日平均で25日平均比 +88%|25日線を上回って推移（+6.5%）|5日線>25日線で短期上向き（乖離+5.8%）|25日線>75日線で中期も上向き（乖離+2.3%）|市場平均(TOPIX)を20日で +8.7pt上回る相対的な強さ|テーマ該当：商社|PER9.9倍 ≤ 業種中央値10.8倍（当社集計）|ニュース環境と接点：商社タグが、原油・円安関連のニュースと関連|直近5日 +3.1%で過熱圏未満（急騰しすぎていない）,9,9,1746.00,1653.43,5,closed,2026-08-07,expired
2026-08-03,4722,フューチャー,4,8.0,2447.00,出来高が5日平均で25日平均比 +135%|25日線を上回って推移（+22.2%）|5日線>25日線で短期上向き（乖離+20.5%）|25日線>75日線で中期も上向き（乖離+18.4%）|市場平均(TOPIX)を20日で +46.2pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER17.6倍 ≤ 業種中央値20.2倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +3.3%で過熱圏未満（急騰しすぎていない）,9,9,2449.00,2231.00,5,closed,2026-08-07,expired
2026-08-03,4661,オリエンタルランド,5,7.8,3119.00,出来高が5日平均で25日平均比 +54%|25日線を上回って推移（+15.4%）|5日線>25日線で短期上向き（乖離+12.1%）|25日線>75日線で中期も上向き（乖離+10.9%）|市場平均(TOPIX)を20日で +22.9pt上回る相対的な強さ|テーマ該当：インバウンド・内需ディフェンシブ・DX|ニュース環境と接点：内需ディフェンシブ・DXタグが、円高・米国株関連のニュースと関連|直近5日 +10.2%で過熱圏未満（急騰しすぎていない）,8,9,3167.00,2859.21,5,closed,2026-08-07,expired
2026-08-04,4722,フューチャー,1,8.4,2447.00,出来高が5日平均で25日平均比 +144%|25日線を上回って推移（+20.0%）|5日線>25日線で短期上向き（乖離+19.4%）|25日線>75日線で中期も上向き（乖離+19.8%）|市場平均(TOPIX)を20日で +50.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER17.6倍 ≤ 業種中央値18.2倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +4.6%で過熱圏未満（急騰しすぎていない）,9,9,2449.00,2250.29,5,open,,
2026-08-04,9507,四国電力,2,8.3,1729.00,出来高が5日平均で25日平均比 +70%|25日線を上回って推移（+12.3%）|5日線>25日線で短期上向き（乖離+8.0%）|25日線>75日線で中期も上向き（乖離+0.6%）|市場平均(TOPIX)を20日で +18.3pt上回る相対的な強さ|テーマ該当：電力・エネルギー・インフラ|割安圏（PER7.0倍・PBR0.75倍）|ニュース環境と接点：エネルギータグが、原油関連のニュースと関連|直近5日 +8.7%で過熱圏未満（急騰しすぎていない）,9,9,,1645.07,5,open,,
2026-08-04,9991,ジェコス,3,8.2,1709.00,出来高が5日平均で25日平均比 +95%|25日線を上回って推移（+5.4%）|5日線>25日線で短期上向き（乖離+6.3%）|25日線>75日線で中期も上向き（乖離+2.8%）|市場平均(TOPIX)を20日で +11.7pt上回る相対的な強さ|テーマ該当：商社|PER9.8倍 ≤ 業種中央値12.6倍（当社集計）|ニュース環境と接点：商社タグが、原油・円安関連のニュースと関連|直近5日 +3.6%で過熱圏未満（急騰しすぎていない）,9,9,1746.00,1634.00,5,open,,
2026-08-04,2121,ＭＩＸＩ,4,7.9,3325.00,出来高が5日平均で25日平均比 +61%|25日線を上回って推移（+13.4%）|5日線>25日線で短期上向き（乖離+6.4%）|25日線>75日線で中期も上向き（乖離+7.3%）|市場平均(TOPIX)を20日で +19.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|PER12.9倍 ≤ 業種中央値18.2倍（当社集計）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +13.5%で過熱圏未満（急騰しすぎていない）,9,9,3400.00,3115.00,5,open,,
2026-08-04,1899,福田組,5,7.9,3870.00,出来高が5日平均で25日平均比 +99%|25日線を上回って推移（+2.3%）|5日線>25日線で短期上向き（乖離+2.0%）|市場平均(TOPIX)を20日で +8.5pt上回る相対的な強さ|テーマ該当：建設・インフラ|割安圏（PER11.5倍・PBR0.71倍）|直近5日 -0.4%で過熱圏未満（急騰しすぎていない）,7,9,3960.00,3652.86,5,open,,
2026-08-05,9507,四国電力,1,9.0,1764.50,出来高が5日平均で25日平均比 +64%|25日線を上回って推移（+13.7%）|5日線>25日線で短期上向き（乖離+9.1%）|25日線>75日線で中期も上向き（乖離+1.3%）|市場平均(TOPIX)を20日で +20.3pt上回る相対的な強さ|テーマ該当：電力・エネルギー・インフラ|割安圏（PER7.1倍・PBR0.76倍）|ニュース環境と接点：電力・エネルギー・インフラタグが、電力・原油関連のニュースと関連|直近5日 +9.9%で過熱圏未満（急騰しすぎていない）,9,9,,1673.21,5,open,,
